Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,SMD,Comment
"U3"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"4430.4mil"	,"-3047mil"	,"4485mil"	,"-3012.6mil"	,"4613.9mil"	,"-3246.9mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U4"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"5119.4mil"	,"-5137.5mil"	,"5174mil"	,"-5103.1mil"	,"5302.9mil"	,"-5337.4mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U5"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"5585.2mil"	,"-3819.8mil"	,"5639.8mil"	,"-3785.4mil"	,"5768.7mil"	,"-4019.7mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U6"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"6632.8mil"	,"-3382.4mil"	,"6687.4mil"	,"-3348mil"	,"6816.3mil"	,"-3582.3mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U7"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"7768.6mil"	,"-3382.4mil"	,"7823.2mil"	,"-3348mil"	,"7952.1mil"	,"-3582.3mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U8"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"8918.6mil"	,"-3382.4mil"	,"8973.2mil"	,"-3348mil"	,"9102.1mil"	,"-3582.3mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U9"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"5806mil"	,"-2597.8mil"	,"5860.6mil"	,"-2563.4mil"	,"5989.5mil"	,"-2797.7mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U10"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"6851.7mil"	,"-2143.8mil"	,"6906.3mil"	,"-2109.4mil"	,"7035.2mil"	,"-2343.7mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U11"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"7992.2mil"	,"-2139.1mil"	,"8046.8mil"	,"-2104.7mil"	,"8175.7mil"	,"-2339mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U12"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"9132.8mil"	,"-2148.6mil"	,"9187.4mil"	,"-2114.2mil"	,"9316.3mil"	,"-2348.5mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"U1"	,"CPG135001D02"	,"Kailh_socket_PG1350"	,"2237.7mil"	,"-2595.4mil"	,"2292.3mil"	,"-2561mil"	,"2421.2mil"	,"-2795.3mil"	,"T"	,"0"	,"No"	,"CPG135001D02"	,
"SW7"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"6503.6mil"	,"-1407mil"	,"6415mil"	,"-1535mil"	,"6415mil"	,"-1535mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW6"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"4360.2mil"	,"-1564.9mil"	,"4271.6mil"	,"-1692.9mil"	,"4271.6mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW5"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"3966.5mil"	,"-1564.9mil"	,"3877.9mil"	,"-1692.9mil"	,"3877.9mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW4"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"3572.8mil"	,"-1564.9mil"	,"3484.2mil"	,"-1692.9mil"	,"3484.2mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW3"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"3061mil"	,"-1564.9mil"	,"2972.4mil"	,"-1692.9mil"	,"2972.4mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW2"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"2667.3mil"	,"-1564.9mil"	,"2578.7mil"	,"-1692.9mil"	,"2578.7mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
"SW1"	,"TS-1002-AR05026"	,"Button_Switch_THT:SW_PUSH_6mm_H5mm"	,"2273.6mil"	,"-1564.9mil"	,"2185mil"	,"-1692.9mil"	,"2185mil"	,"-1692.9mil"	,"T"	,"90"	,"No"	,"TS-1002-AR05026"	,
